STATE,COUNTY,STATE_FIPS,COUNTY_FIPS,KERRY_VOTES,KERRY_%,BUSH_VOTES,BUSH_%,OTHER_VOTES,OTHER_%
MICHIGAN,ALCONA,26,001,2871,43.96%,3592,55.00%,68,1.04%
MICHIGAN,ALGER,26,003,2395,50.26%,2318,48.65%,52,1.09%
MICHIGAN,ALLEGAN,26,005,19355,35.90%,34022,63.11%,530,0.98%
MICHIGAN,ALPENA,26,007,7407,48.70%,7665,50.39%,139,0.91%
MICHIGAN,ANTRIM,26,009,5072,37.24%,8379,61.52%,168,1.23%
MICHIGAN,ARENAC,26,011,4076,49.61%,4071,49.55%,69,0.84%
MICHIGAN,BARAGA,26,013,1660,45.06%,1977,53.66%,47,1.28%
MICHIGAN,BARRY,26,015,11312,37.37%,18638,61.57%,322,1.06%
MICHIGAN,BAY,26,017,31049,54.42%,25448,44.60%,562,0.98%
MICHIGAN,BENZIE,26,019,4383,44.83%,5284,54.04%,111,1.14%
MICHIGAN,BERRIEN,26,021,32846,43.99%,41076,55.01%,749,1.00%
MICHIGAN,BRANCH,26,023,7004,38.98%,10784,60.02%,179,1.00%
MICHIGAN,CALHOUN,26,025,29891,47.70%,32093,51.21%,683,1.09%
MICHIGAN,CASS,26,027,9537,42.02%,12964,57.12%,196,0.86%
MICHIGAN,CHARLEVOIX,26,029,5729,40.52%,8214,58.09%,196,1.39%
MICHIGAN,CHEBOYGAN,26,031,5941,42.78%,7798,56.15%,148,1.07%
MICHIGAN,CHIPPEWA,26,033,7203,43.69%,9122,55.33%,163,0.99%
MICHIGAN,CLARE,26,035,6984,49.09%,7088,49.82%,154,1.08%
MICHIGAN,CLINTON,26,037,15483,40.95%,21989,58.16%,335,0.89%
MICHIGAN,CRAWFORD,26,039,3126,43.21%,4017,55.52%,92,1.27%
MICHIGAN,DELTA,26,041,9381,48.76%,9680,50.32%,177,0.92%
MICHIGAN,DICKINSON,26,043,5650,41.70%,7734,57.08%,165,1.22%
MICHIGAN,EATON,26,045,25411,45.58%,29781,53.41%,563,1.01%
MICHIGAN,EMMET,26,047,6846,39.41%,10332,59.48%,194,1.12%
MICHIGAN,GD. TRAVERSE,26,055,18256,39.52%,27446,59.42%,489,1.06%
MICHIGAN,GENESEE,26,049,128334,60.03%,83870,39.23%,1571,0.73%
MICHIGAN,GLADWIN,26,051,6343,47.95%,6770,51.18%,114,0.86%
MICHIGAN,GOGEBIC,26,053,4421,52.31%,3935,46.56%,96,1.14%
MICHIGAN,GRATIOT,26,057,7377,42.45%,9834,56.59%,168,0.97%
MICHIGAN,HILLSDALE,26,059,7123,35.23%,12804,63.34%,289,1.43%
