STATE,COUNTY,STATE_FIPS,COUNTY_FIPS,KERRY_VOTES,KERRY_%,BUSH_VOTES,BUSH_%,OTHER_VOTES,OTHER_%
AL,AUTAUGA,01,001,4758,0.237,15196,0.757,127,0.006
AL,BALDWIN,01,003,15599,0.225,52971,0.764,750,0.011
AL,BARBOUR,01,005,4832,0.448,5899,0.547,46,0.004
AL,BIBB,01,007,2089,0.275,5472,0.72,39,0.005
AL,BLOUNT,01,009,3938,0.183,17386,0.809,180,0.008
AL,BULLOCK,01,011,3210,0.681,1494,0.317,13,0.003
AL,BUTLER,01,013,3413,0.406,4979,0.592,24,0.003
AL,CALHOUN,01,015,15083,0.333,29814,0.659,352,0.008
AL,CHAMBERS,01,017,5347,0.41,7622,0.585,63,0.005
AL,CHEROKEE,01,019,3040,0.336,5923,0.655,86,0.01
AL,CHILTON,01,021,3778,0.226,12829,0.769,86,0.005
AL,CHOCTAW,01,023,3303,0.457,3897,0.539,27,0.004
AL,CLARKE,01,025,4627,0.406,6730,0.591,37,0.003
AL,CLAY,01,027,1893,0.288,4624,0.703,59,0.009
AL,CLEBURNE,01,029,1391,0.24,4370,0.754,37,0.006
AL,COFFEE,01,031,4480,0.254,13019,0.739,117,0.007
AL,COLBERT,01,033,10598,0.443,13188,0.551,149,0.006
AL,CONECUH,01,035,2719,0.452,3271,0.543,31,0.005
AL,COOSA,01,037,2055,0.411,2905,0.581,41,0.008
AL,COVINGTON,01,039,3423,0.234,11119,0.76,85,0.006
AL,CRENSHAW,01,041,1698,0.309,3777,0.687,25,0.005
AL,CULLMAN,01,043,8045,0.229,26818,0.762,328,0.009
AL,DALE,01,045,4484,0.246,13621,0.747,126,0.007
AL,DALLAS,01,047,11175,0.602,7335,0.395,63,0.003
AL,DEKALB,01,049,7092,0.294,16904,0.7,139,0.006
AL,ELMORE,01,051,6471,0.226,22056,0.769,153,0.005
AL,ESCAMBIA,01,053,3814,0.308,8513,0.687,68,0.005
AL,ETOWAH,01,055,15328,0.359,26999,0.633,353,0.008
AL,FAYETTE,01,057,2408,0.301,5534,0.692,60,0.007
AL,FRANKLIN,01,059,4514,0.368,7690,0.627,65,0.005
AL,GENEVA,01,061,2113,0.201,8342,0.793,65,0.006
AL,GREENE,01,063,3764,0.793,958,0.202,26,0.005
AL,HALE,01,065,4631,0.583,3281,0.413,33,0.004
AL,HENRY,01,067,2452,0.333,4881,0.663,28,0.004
AL,HOUSTON,01,069,9144,0.253,26874,0.742,183,0.005
AL,JACKSON,01,071,8635,0.425,11534,0.568,152,0.007
AL,JEFFERSON,01,073,132286,0.452,158680,0.542,2001,0.007
AL,LAMAR,01,075,1956,0.284,4894,0.711,35,0.005
AL,LAUDERDALE,01,077,14628,0.394,22161,0.597,318,0.009
AL,LAWRENCE,01,079,6155,0.44,7730,0.552,116,0.008
AL,LEE,01,081,16227,0.364,27972,0.627,411,0.009
AL,LIMESTONE,01,083,9126,0.314,19702,0.678,245,0.008
AL,LOWNDES,01,085,4233,0.703,1786,0.297,2,0
AL,MACON,01,087,7800,0.829,1570,0.167,37,0.004
AL,MADISON,01,089,52644,0.402,77173,0.589,1245,0.009
AL,MARENGO,01,091,5037,0.488,5255,0.509,30,0.003
AL,MARION,01,093,3808,0.296,8983,0.698,84,0.007
AL,MARSHALL,01,095,8452,0.268,22783,0.723,256,0.008
AL,MOBILE,01,097,63732,0.407,92014,0.587,1025,0.007
AL,MONROE,01,099,3666,0.385,5831,0.612,37,0.004
AL,MONTGOMERY,01,101,45160,0.504,44097,0.492,393,0.004
