MAINE,ANDROSCOGGIN,23,1,30503,54.4%,24519,43.7%,1045,1.9%
MAINE,AROOSTOCK,23,3,19569,51.9%,17564,46.5%,600,1.6%
MAINE,CUMBERLAND,23,5,94846,58.2%,65384,40.1%,2732,1.7%
MAINE,FRANKLIN,23,7,9458,54.8%,7368,42.7%,418,2.4%
MAINE,HANCOCK,23,9,18048,54.5%,14405,43.5%,669,2.0%
MAINE,KENNEBEC,23,11,35616,53.3%,29761,44.6%,1395,2.1%
MAINE,KNOX,23,13,12690,54.6%,10103,43.5%,454,2.0%
MAINE,LINCOLN,23,15,11351,51.3%,10370,46.8%,421,1.9%
MAINE,OXFORD,23,17,16618,52.7%,14196,45.0%,732,2.3%
MAINE,PENOBSCOT,23,19,40386,49.2%,40257,49.1%,1373,1.7%
MAINE,PISCATAQUIS,23,21,4409,44.4%,5299,53.3%,232,2.3%
MAINE,SAGADAHOC,23,23,11114,52.7%,9507,45.1%,475,2.3%
MAINE,SOMERSET,23,25,13586,50.0%,13004,47.8%,604,2.2%
MAINE,WALDO,23,27,11555,51.8%,10309,46.2%,454,2.0%
MAINE,WASHINGTON,23,29,8391,48.5%,8619,49.8%,300,1.7%
MAINE,YORK ,23,31,58702,53.3%,49526,45.0%,1805,1.6%
