STATE,COUNTY,STATE_FIPS,COUNTY_FIPS,KERRY_VOTES,KERRY_%,CLINTON_VOTES,CLINTON_%,VOTE_DIFF,PER_DIFF
MICHIGAN,ALCONA,26,001,2871,0.440,1732,0.279,-1139,-0.161
MICHIGAN,ALGER,26,003,2395,0.503,1663,0.368,-732,-0.135
MICHIGAN,ALLEGAN,26,005,19355,0.359,18050,0.322,-1305,-0.037
MICHIGAN,ALPENA,26,007,7407,0.487,4877,0.330,-2530,-0.157
MICHIGAN,ANTRIM,26,009,5072,0.372,4448,0.325,-624,-0.047
MICHIGAN,ARENAC,26,011,4076,0.496,2384,0.308,-1692,-0.188
MICHIGAN,BARAGA,26,013,1660,0.451,1156,0.329,-504,-0.122
MICHIGAN,BARRY,26,015,11312,0.374,9114,0.299,-2198,-0.075
MICHIGAN,BAY,26,017,31049,0.544,21642,0.409,-9407,-0.135
MICHIGAN,BENZIE,26,019,4383,0.448,4108,0.402,-275,-0.046
MICHIGAN,BERRIEN,26,021,32846,0.440,29495,0.409,-3351,-0.031
MICHIGAN,BRANCH,26,023,7004,0.390,5061,0.287,-1943,-0.103
MICHIGAN,CALHOUN,26,025,29891,0.477,24157,0.410,-5734,-0.067
MICHIGAN,CASS,26,027,9537,0.420,7270,0.322,-2267,-0.098
MICHIGAN,CHARLEVOIX,26,029,5729,0.405,5137,0.351,-592,-0.054
MICHIGAN,CHEBOYGAN,26,031,5941,0.428,4302,0.315,-1639,-0.113
MICHIGAN,CHIPPEWA,26,033,7203,0.437,5379,0.346,-1824,-0.091
MICHIGAN,CLARE,26,035,6984,0.491,4249,0.316,-2735,-0.175
MICHIGAN,CLINTON,26,037,15483,0.410,16492,0.406,1009,-0.004
MICHIGAN,CRAWFORD,26,039,3126,0.432,2110,0.308,-1016,-0.124
MICHIGAN,DELTA,26,041,9381,0.488,6436,0.346,-2945,-0.142
MICHIGAN,DICKINSON,26,043,5650,0.417,3923,0.298,-1727,-0.119
MICHIGAN,EATON,26,045,25411,0.456,24938,0.441,-473,-0.015
MICHIGAN,EMMET,26,047,6846,0.394,6972,0.367,126,-0.027
MICHIGAN,GD. TRAVERSE,26,055,18256,0.395,20965,0.403,2709,0.008
MICHIGAN,GENESEE,26,049,128334,0.600,102751,0.520,-25583,-0.080
MICHIGAN,GLADWIN,26,051,6343,0.480,3794,0.303,-2549,-0.177
MICHIGAN,GOGEBIC,26,053,4421,0.523,2925,0.396,-1496,-0.127
MICHIGAN,GRATIOT,26,057,7377,0.425,5666,0.344,-1711,-0.081
MICHIGAN,HILLSDALE,26,059,7123,0.352,4799,0.241,-2324,-0.111
MICHIGAN,HOUGHTON,26,061,6731,0.425,6018,0.382,-713,-0.043
MICHIGAN,HURON,26,063,7629,0.437,4579,0.287,-3050,-0.150
MICHIGAN,INGHAM,26,065,76877,0.578,79110,0.599,2233,0.021
MICHIGAN,IONIA,26,067,10647,0.385,8352,0.309,-2295,-0.076
MICHIGAN,IOSCO,26,069,6557,0.468,4345,0.324,-2212,-0.144
MICHIGAN,IRON,26,071,3215,0.494,2004,0.339,-1211,-0.155
MICHIGAN,ISABELLA,26,073,12334,0.506,11404,0.447,-930,-0.059
MICHIGAN,JACKSON,26,075,31025,0.432,25795,0.368,-5230,-0.064
MICHIGAN,KALAMAZOO,26,077,61462,0.513,67148,0.532,5686,0.019
MICHIGAN,KALKASKA,26,079,3189,0.380,2280,0.258,-909,-0.122
MICHIGAN,KENT,26,081,116909,0.402,138683,0.446,21774,0.044
MICHIGAN,KEWEENAW,26,083,630,0.438,527,0.368,-103,-0.070
MICHIGAN,LAKE,26,085,2675,0.510,1939,0.362,-736,-0.148
MICHIGAN,LAPEER,26,087,18086,0.410,12734,0.282,-5352,-0.128
MICHIGAN,LEELANAU,26,089,6048,0.435,6774,0.455,726,0.020
MICHIGAN,LENAWEE,26,091,20787,0.442,16750,0.362,-4037,-0.080
MICHIGAN,LIVINGSTON,26,093,33991,0.363,34384,0.323,393,-0.040
MICHIGAN,LUCE,26,095,1045,0.369,681,0.263,-364,-0.106
MICHIGAN,MACKINAC,26,097,2819,0.427,2085,0.339,-734,-0.088
MICHIGAN,MACOMB,26,099,196160,0.487,176317,0.420,-19843,-0.068
MICHIGAN,MANISTEE,26,101,6272,0.492,4979,0.393,-1293,-0.099
MICHIGAN,MARQUETTE,26,103,17412,0.536,16042,0.483,-1370,-0.053
MICHIGAN,MASON,26,105,6333,0.433,5281,0.357,-1052,-0.076
MICHIGAN,MECOSTA,26,107,7730,0.440,5827,0.339,-1903,-0.101
MICHIGAN,MENOMINEE,26,109,5326,0.466,3539,0.327,-1787,-0.139
MICHIGAN,MIDLAND,26,111,18355,0.424,15635,0.366,-2720,-0.058
MICHIGAN,MISSAUKEE,26,113,2319,0.312,1565,0.214,-754,-0.099
MICHIGAN,MONROE,26,115,36089,0.487,26863,0.360,-9226,-0.127
MICHIGAN,MONTCALM,26,117,11471,0.429,7874,0.294,-3597,-0.135
MICHIGAN,MONTMORENCY,26,119,2196,0.395,1287,0.257,-909,-0.138
MICHIGAN,MUSKEGON,26,121,44282,0.551,37304,0.478,-6978,-0.073
