STATE,COUNTY,STATE_FIPS,COUNTY_FIPS,OBAMA_VOTES,OBAMA_%,MCCAIN_VOTES,MCCAIN_%,OTHER_VOTES,OTHER_%
MN,LAKEOFTHEWOODS,27,077,971,0.420,1278,0.552,64,0.028
WA,WHATCOM,53,073,58236,0.580,40205,0.401,1898,0.019
MT,VALLEY,30,105,1645,0.421,2121,0.542,145,0.037
MT,FLATHEAD,30,029,16138,0.369,25559,0.585,2017,0.046
ID,BOUNDARY,16,021,1484,0.314,3078,0.650,171,0.036
MT,PHILLIPS,30,071,638,0.300,1423,0.670,62,0.029
ND,ROLETTE,38,079,3403,0.751,1045,0.231,86,0.019
MT,LINCOLN,30,053,3025,0.328,5704,0.618,498,0.054
ND,BOTTINEAU,38,009,1387,0.395,2059,0.586,70,0.020
MT,GLACIER,30,035,3423,0.689,1451,0.292,96,0.019
MT,HILL,30,041,3596,0.543,2787,0.421,241,0.036
MT,BLAINE,30,005,1702,0.582,1139,0.390,83,0.028
MT,DANIELS,30,019,343,0.320,694,0.647,36,0.034
ND,PEMBINA,38,067,1494,0.452,1722,0.521,91,0.028
MN,KITTSON,27,069,1492,0.581,1016,0.396,60,0.023
ND,TOWNER,38,095,621,0.519,536,0.448,40,0.033
ND,CAVALIER,38,019,930,0.437,1128,0.530,72,0.034
WA,OKANOGAN,53,047,7613,0.451,8798,0.521,459,0.027
WA,STEVENS,53,065,8499,0.380,13132,0.588,710,0.032
WA,PENDOREILLE,53,051,2562,0.391,3717,0.567,273,0.042
WA,FERRY,53,019,1467,0.419,1916,0.547,118,0.034
MT,LIBERTY,30,051,367,0.367,594,0.593,40,0.040
ND,DIVIDE,38,023,464,0.410,630,0.557,37,0.033
ND,BURKE,38,013,286,0.303,640,0.679,17,0.018
MT,TOOLE,30,101,737,0.347,1317,0.621,67,0.032
ND,RENVILLE,38,075,505,0.375,799,0.594,42,0.031
MN,ROSEAU,27,135,3097,0.402,4438,0.576,165,0.021
MT,SHERIDAN,30,091,953,0.475,987,0.492,66,0.033
ID,BONNER,16,017,7840,0.401,11145,0.570,562,0.029
ND,WARD,38,101,10144,0.396,15061,0.588,416,0.016
WA,SANJUAN,53,055,7374,0.700,2958,0.281,199,0.019
MN,KOOCHICHING,27,071,3649,0.536,2962,0.435,191,0.028
WA,SKAGIT,53,057,30053,0.538,24687,0.442,1146,0.020
ND,WILLIAMS,38,105,2921,0.312,6291,0.671,161,0.017
ND,MCHENRY,38,049,981,0.406,1374,0.569,61,0.025
MN,SAINTLOUIS,27,137,77351,0.651,38742,0.326,2721,0.023
MT,ROOSEVELT,30,085,2564,0.618,1473,0.355,113,0.027
WA,CHELAN,53,007,13781,0.431,17605,0.551,572,0.018
ND,MOUNTRAIL,38,061,1477,0.503,1406,0.479,55,0.019
MN,MARSHALL,27,089,2311,0.488,2285,0.482,143,0.030
ND,PIERCE,38,069,792,0.370,1301,0.608,46,0.021
ND,RAMSEY,38,071,2314,0.486,2361,0.496,87,0.018
ND,WALSH,38,099,2325,0.476,2415,0.495,142,0.029
MN,BELTRAMI,27,007,12019,0.540,9762,0.439,455,0.020
MT,PONDERA,30,073,1223,0.424,1588,0.550,74,0.026
WA,ISLAND,53,029,22058,0.523,19426,0.461,675,0.016
WA,CLALLAM,53,009,19470,0.505,18199,0.472,850,0.022
ND,BENSON,38,005,1569,0.672,733,0.314,32,0.014
MT,CHOUTEAU,30,015,1122,0.392,1634,0.571,105,0.037
WA,SNOHOMISH,53,061,187294,0.585,126722,0.396,6317,0.020
MT,SANDERS,30,089,1970,0.337,3563,0.609,316,0.054
MN,COOK,27,031,2019,0.603,1240,0.370,89,0.027
MI,KEWEENAW,26,083,610,0.433,756,0.536,44,0.031
MN,LAKE,27,075,4174,0.599,2636,0.378,159,0.023
ND,NELSON,38,063,907,0.518,800,0.457,45,0.026
ND,GRANDFORKS,38,035,16104,0.517,14520,0.466,529,0.017
MN,POLK,27,119,7850,0.512,7148,0.466,336,0.022
MN,PENNINGTON,27,113,3394,0.497,3248,0.476,180,0.026
MT,RICHLAND,30,083,1203,0.266,3184,0.705,129,0.029
WA,DOUGLAS,53,017,5848,0.385,9098,0.598,263,0.017
