STATE,COUNTY_NAME,STATE_FIPS,COUNTY_FIPS,OBAMA_VOTES,OBAMA_%,ROMNEY_VOTES,ROMNEY_%,OTHER_VOTES,OTHER_%
AL,AUTAUGA,01,001,6363,0.265,17379,0.725,231,0.010
AL,BARBOUR,01,005,5912,0.513,5550,0.482,55,0.005
AL,BIBB,01,007,2202,0.262,6132,0.728,86,0.010
AL,BLOUNT,01,009,2970,0.123,20757,0.863,333,0.014
AL,BULLOCK,01,011,4061,0.763,1251,0.235,10,0.002
AL,BUTLER,01,013,4374,0.460,5087,0.535,41,0.004
AL,CHAMBERS,01,017,6871,0.470,7626,0.521,132,0.009
AL,CHEROKEE,01,019,2132,0.218,7506,0.767,154,0.016
AL,CHILTON,01,021,3397,0.194,13932,0.797,156,0.009
AL,CHOCTAW,01,023,3786,0.475,4152,0.521,38,0.005
AL,CLARKE,01,025,6334,0.457,7470,0.539,56,0.004
AL,CLAY,01,027,1777,0.266,4817,0.721,85,0.013
AL,CLEBURNE,01,029,971,0.154,5272,0.834,76,0.012
AL,COFFEE,01,031,4925,0.248,14666,0.740,230,0.012
AL,COLBERT,01,033,9166,0.391,13936,0.594,342,0.015
AL,CONECUH,01,035,3555,0.506,3439,0.490,31,0.004
AL,COOSA,01,037,2191,0.415,3049,0.577,42,0.008
AL,COVINGTON,01,039,3158,0.205,12153,0.787,128,0.008
AL,CRENSHAW,01,041,2050,0.319,4331,0.674,43,0.007
AL,CULLMAN,01,043,5052,0.146,28999,0.839,504,0.015
AL,DALE,01,045,5286,0.284,13108,0.705,207,0.011
AL,DALLAS,01,047,14612,0.697,6288,0.300,64,0.003
AL,DEKALB,01,049,5239,0.219,18331,0.765,380,0.016
AL,ELMORE,01,051,8954,0.252,26253,0.739,339,0.010
AL,ESCAMBIA,01,053,5489,0.369,9287,0.624,118,0.008
AL,ETOWAH,01,055,12803,0.300,29130,0.683,691,0.016
AL,FAYETTE,01,057,1817,0.228,6054,0.761,87,0.011
AL,FRANKLIN,01,059,3171,0.291,7567,0.695,143,0.013
AL,GENEVA,01,061,2039,0.180,9175,0.810,117,0.010
AL,GREENE,01,063,4521,0.846,804,0.150,18,0.003
AL,HALE,01,065,5411,0.626,3210,0.371,26,0.003
AL,HENRY,01,067,3083,0.352,5628,0.642,55,0.006
AL,HOUSTON,01,069,12367,0.295,29270,0.697,347,0.008
AL,JACKSON,01,071,5822,0.282,14439,0.700,371,0.018
AL,JEFFERSON,01,073,159876,0.525,141683,0.465,2964,0.010
AL,LAMAR,01,075,1646,0.229,5457,0.760,73,0.010
AL,LAUDERDALE,01,077,12511,0.338,23911,0.646,610,0.016
AL,LAWRENCE,01,079,5069,0.358,8874,0.627,205,0.014
AL,LEE,01,081,21381,0.392,32194,0.591,921,0.017
AL,LIMESTONE,01,083,9829,0.277,25295,0.712,416,0.012
AL,LOWNDES,01,085,5747,0.764,1756,0.233,20,0.003
AL,MACON,01,087,9045,0.870,1331,0.128,20,0.002
AL,MADISON,01,089,62015,0.399,90884,0.585,2529,0.016
AL,MARENGO,01,091,6167,0.534,5336,0.462,40,0.003
AL,MARION,01,093,2249,0.185,9697,0.799,183,0.015
AL,MARSHALL,01,095,6299,0.193,25867,0.792,478,0.015
AL,MONROE,01,099,4914,0.459,5741,0.536,62,0.006
AL,MONTGOMERY,01,101,63085,0.618,38332,0.376,650,0.006
AL,MORGAN,01,103,13439,0.272,35391,0.716,629,0.013
AL,PERRY,01,105,4568,0.749,1506,0.247,27,0.004
AL,PICKENS,01,107,4455,0.463,5124,0.533,42,0.004
AL,PIKE,01,109,6035,0.427,7963,0.564,125,0.009
AL,RANDOLPH,01,111,3078,0.295,7224,0.693,119,0.011
AL,RUSSELL,01,113,10500,0.558,8278,0.440,48,0.003
AL,STCLAIR,01,115,5801,0.165,29031,0.824,403,0.011
AL,SHELBY,01,117,20051,0.216,71436,0.770,1255,0.014
AL,SUMTER,01,119,5421,0.771,1586,0.226,23,0.003
AL,TALLADEGA,01,121,13905,0.416,19246,0.576,265,0.008
AL,TALLAPOOSA,01,123,6319,0.337,12396,0.661,47,0.003
AL,TUSCALOOSA,01,125,32048,0.407,45748,0.581,976,0.012
AL,WALKER,01,127,6557,0.229,21651,0.757,377,0.013
AL,WASHINGTON,01,129,2976,0.339,5761,0.656,50,0.006
AL,WILCOX,01,131,4868,0.743,1679,0.256,8,0.001
AL,WINSTON,01,133,1286,0.132,8312,0.854,130,0.013
AZ,APACHE,04,001,17147,0.662,8250,0.318,520,0.020
AZ,COCHISE,04,003,18546,0.377,29497,0.600,1158,0.024
AZ,COCONINO,04,005,29257,0.563,21220,0.408,1485,0.029
AZ,GILA,04,007,7697,0.356,13455,0.623,443,0.021
AZ,GRAHAM,04,009,3609,0.303,8076,0.678,220,0.018
AZ,GREENLEE,04,011,1310,0.439,1592,0.533,84,0.028
AZ,LAPAZ,04,012,1880,0.328,3714,0.648,141,0.025
AZ,MARICOPA,04,013,602288,0.436,749885,0.543,28786,0.021
AZ,MOHAVE,04,015,19533,0.278,49168,0.699,1627,0.023
AZ,NAVAJO,04,017,16945,0.452,19884,0.531,636,0.017
AZ,PIMA,04,019,201251,0.525,174779,0.456,7143,0.019
AZ,PINAL,04,021,44306,0.408,62079,0.571,2297,0.021
AZ,SANTACRUZ,04,023,9486,0.682,4235,0.304,190,0.014
AZ,YAVAPAI,04,025,33918,0.337,64468,0.640,2281,0.023
AZ,YUMA,04,027,18059,0.429,23352,0.555,662,0.016
AR,ARKANSAS,05,001,2455,0.378,3897,0.600,142,0.022
AR,ASHLEY,05,003,2859,0.361,4867,0.614,195,0.025
AR,BAXTER,05,005,5172,0.267,13688,0.708,479,0.025
AR,BENTON,05,007,22636,0.286,54646,0.689,1975,0.025
AR,BOONE,05,009,3772,0.245,11159,0.725,460,0.030
AR,BRADLEY,05,011,1449,0.397,2134,0.584,69,0.019
AR,CARROLL,05,015,3696,0.363,6125,0.601,362,0.036
AR,CHICOT,05,017,2649,0.607,1670,0.383,42,0.010
AR,CLARK,05,019,3811,0.453,4343,0.516,255,0.030
AR,CLAY,05,021,1738,0.340,3225,0.631,147,0.029
AR,CLEBURNE,05,023,2620,0.225,8693,0.746,334,0.029
AR,CLEVELAND,05,025,845,0.259,2313,0.708,108,0.033
AR,COLUMBIA,05,027,3557,0.376,5790,0.612,108,0.011
AR,CONWAY,05,029,3005,0.389,4514,0.584,211,0.027
AR,CRAIGHEAD,05,031,10527,0.332,20350,0.642,823,0.026
AR,CRAWFORD,05,033,4881,0.237,15145,0.736,565,0.027
AR,CRITTENDEN,05,035,9487,0.568,6998,0.419,231,0.014
AR,CROSS,05,037,2279,0.341,4269,0.639,133,0.020
AR,DALLAS,05,039,1337,0.434,1665,0.540,82,0.027
AR,DESHA,05,041,2443,0.553,1896,0.429,81,0.018
AR,DREW,05,043,2630,0.397,3887,0.586,116,0.017
AR,FAULKNER,05,045,13621,0.329,26722,0.645,1117,0.027
AR,FRANKLIN,05,047,1726,0.264,4631,0.708,183,0.028
AR,FULTON,05,049,1452,0.321,2949,0.652,121,0.027
AR,GARLAND,05,051,13804,0.339,26014,0.639,910,0.022
AR,GRANT,05,053,1468,0.227,4829,0.745,182,0.028
AR,GREENE,05,055,4000,0.291,9071,0.659,690,0.050
AR,HEMPSTEAD,05,057,2468,0.357,4284,0.619,169,0.024
AR,HOTSPRING,05,059,3830,0.340,7097,0.630,333,0.030
AR,HOWARD,05,061,1471,0.330,2892,0.648,99,0.022
AR,INDEPENDENCE,05,063,3281,0.265,8728,0.704,388,0.031
AR,IZARD,05,065,1524,0.289,3575,0.677,179,0.034
AR,JACKSON,05,067,2095,0.392,3072,0.575,180,0.034
AR,JEFFERSON,05,069,17470,0.638,9520,0.348,393,0.014
AR,JOHNSON,05,071,2799,0.346,5064,0.625,235,0.029
AR,LAFAYETTE,05,073,1173,0.400,1713,0.585,43,0.015
AR,LAWRENCE,05,075,1788,0.323,3536,0.638,216,0.039
AR,LEE,05,077,2107,0.615,1280,0.374,37,0.011
AR,LINCOLN,05,079,1425,0.382,2199,0.590,102,0.027
AR,LITTLERIVER,05,081,1552,0.307,3385,0.670,114,0.023
AR,LOGAN,05,083,2009,0.274,5079,0.693,243,0.033
AR,LONOKE,05,085,5625,0.233,17880,0.741,609,0.025
AR,MADISON,05,087,2099,0.320,4263,0.649,206,0.031
AR,MARION,05,089,2037,0.289,4774,0.677,240,0.034
AR,MILLER,05,091,4518,0.295,10622,0.693,189,0.012
AR,MISSISSIPPI,05,093,6467,0.484,6603,0.494,305,0.023
AR,MONROE,05,095,1583,0.490,1585,0.491,62,0.019
AR,MONTGOMERY,05,097,920,0.270,2369,0.696,115,0.034
AR,NEVADA,05,099,1314,0.388,1996,0.590,74,0.022
AR,NEWTON,05,101,993,0.271,2508,0.685,160,0.044
AR,OUACHITA,05,103,4633,0.449,5521,0.535,161,0.016
AR,PERRY,05,105,1187,0.301,2581,0.655,170,0.043
AR,PHILLIPS,05,107,5202,0.656,2598,0.328,130,0.016
AR,PIKE,05,109,851,0.225,2847,0.752,90,0.024
AR,POINSETT,05,111,2390,0.316,4974,0.658,196,0.026
AR,POLK,05,113,1556,0.201,5955,0.771,215,0.028
AR,POPE,05,115,5126,0.251,14763,0.722,550,0.027
AR,PRAIRIE,05,117,880,0.280,2153,0.685,108,0.034
AR,PULASKI,05,119,87248,0.547,68984,0.433,3149,0.020
AR,RANDOLPH,05,121,2046,0.344,3701,0.621,209,0.035
AR,STFRANCIS,05,123,4910,0.587,3368,0.403,84,0.010
AR,SALINE,05,125,12869,0.273,32963,0.700,1230,0.026
AR,SCOTT,05,127,897,0.246,2631,0.723,112,0.031
AR,SEARCY,05,129,814,0.220,2699,0.731,181,0.049
AR,SEBASTIAN,05,131,13092,0.302,29169,0.673,1101,0.025
AR,SEVIER,05,133,1042,0.241,3136,0.724,152,0.035
AR,SHARP,05,135,2092,0.287,4921,0.676,270,0.037
AR,STONE,05,137,1356,0.253,3776,0.705,222,0.041
AR,UNION,05,139,6196,0.361,10699,0.623,282,0.016
AR,VANBUREN,05,141,1832,0.285,4365,0.679,233,0.036
AR,WASHINGTON,05,143,28236,0.401,39688,0.563,2536,0.036
AR,WHITE,05,145,5765,0.217,20011,0.755,738,0.028
AR,WOODRUFF,05,147,1340,0.499,1227,0.457,118,0.044
AR,YELL,05,149,1722,0.288,4042,0.677,210,0.035
CA,ALAMEDA,06,001,469684,0.789,108182,0.182,17776,0.030
CA,ALPINE,06,003,389,0.596,236,0.361,28,0.043
CA,AMADOR,06,005,6830,0.387,10281,0.583,538,0.030
CA,BUTTE,06,007,42669,0.470,44479,0.490,3604,0.040
CA,CALAVERAS,06,009,8670,0.398,12365,0.568,751,0.034
