STATE_NAME,COUNTY_NAME,STATE_FIPS,COUNTY_FIPS,CLINTON_VOTES,CLINTON_%,TRUMP_VOTES,TRUMP_%,MCMULLIN_VOTES,MCMULLIN_%,OTHER_VOTES,OTHER_%,
ALABAMA,AUTAUGA,1,1,5936,23.8%,18172,72.8%,0,0.0%,865,3.5%,
ALABAMA,BALDWIN,1,3,18458,19.4%,72883,76.5%,0,0.0%,3874,4.1%,
ALABAMA,BARBOUR,1,5,4871,46.5%,5454,52.1%,0,0.0%,144,1.4%,
ALABAMA,BIBB,1,7,1874,21.2%,6738,76.4%,0,0.0%,207,2.3%,
ALABAMA,BLOUNT,1,9,2156,8.4%,22859,89.3%,0,0.0%,573,2.2%,
ALABAMA,BULLOCK,1,11,3530,74.9%,1140,24.2%,0,0.0%,40,0.8%,
ALABAMA,BUTLER,1,13,3726,42.7%,4901,56.1%,0,0.0%,105,1.2%,
ALABAMA,CALHOUN,1,15,13242,27.7%,32865,68.7%,0,0.0%,1757,3.7%,
ALABAMA,CHAMBERS,1,17,5784,41.6%,7843,56.4%,0,0.0%,273,2.0%,
ALABAMA,CHEROKEE,1,19,1547,14.4%,8953,83.4%,0,0.0%,233,2.2%,
ALABAMA,CHILTON,1,21,2911,15.8%,15081,82.1%,0,0.0%,377,2.1%,
ALABAMA,CHOCTAW,1,23,3109,42.6%,4106,56.3%,0,0.0%,77,1.1%,
ALABAMA,CLARKE,1,25,5749,44.1%,7140,54.8%,0,0.0%,142,1.1%,
ALABAMA,CLAY,1,27,1237,18.7%,5245,79.2%,0,0.0%,142,2.1%,
ALABAMA,CLEBURNE,1,29,684,10.4%,5764,87.4%,0,0.0%,145,2.2%,
ALABAMA,COFFEE,1,31,4221,20.3%,15875,76.4%,0,0.0%,671,3.2%,
ALABAMA,COLBERT,1,33,7312,29.3%,16746,67.2%,0,0.0%,857,3.4%,
ALABAMA,CONECUH,1,35,3080,46.8%,3420,51.9%,0,0.0%,85,1.3%,
ALABAMA,COOSA,1,37,1782,33.9%,3381,64.4%,0,0.0%,89,1.7%,
ALABAMA,COVINGTON,1,39,2387,15.0%,13267,83.2%,0,0.0%,286,1.8%,
ALABAMA,CRENSHAW,1,41,1664,26.6%,4513,72.0%,0,0.0%,90,1.4%,
ALABAMA,CULLMAN,1,43,3798,10.0%,32989,87.1%,0,0.0%,1086,2.9%,
ALABAMA,DALE,1,45,4413,23.5%,13808,73.6%,0,0.0%,528,2.8%,
ALABAMA,DALLAS,1,47,12836,68.3%,5789,30.8%,0,0.0%,167,0.9%,
ALABAMA,DEKALB,1,49,3622,14.0%,21405,82.9%,0,0.0%,799,3.1%,
ALABAMA,ELMORE,1,51,8443,22.7%,27634,74.2%,0,0.0%,1183,3.2%,
ALABAMA,ESCAMBIA,1,53,4605,31.0%,9935,66.9%,0,0.0%,305,2.1%,
ALABAMA,ETOWAH,1,55,10442,23.6%,32353,73.3%,0,0.0%,1369,3.1%,
ALABAMA,FAYETTE,1,57,1362,16.5%,6712,81.4%,0,0.0%,175,2.1%,
ALABAMA,FRANKLIN,1,59,2197,18.2%,9466,78.6%,0,0.0%,377,3.1%,
ALABAMA,GENEVA,1,61,1525,13.0%,9994,85.0%,0,0.0%,239,2.0%,
ALABAMA,GREENE,1,63,4013,82.2%,838,17.2%,0,0.0%,29,0.6%,
ALABAMA,HALE,1,65,4775,59.4%,3173,39.5%,0,0.0%,92,1.1%,
ALABAMA,HENRY,1,67,2292,28.4%,5632,69.8%,0,0.0%,148,1.8%,
ALABAMA,HOUSTON,1,69,10664,25.0%,30728,72.1%,0,0.0%,1247,2.9%,
ALABAMA,JACKSON,1,71,3673,17.5%,16672,79.5%,0,0.0%,639,3.0%,
ALABAMA,JEFFERSON,1,73,156873,51.6%,134768,44.3%,0,0.0%,12550,4.1%,
ALABAMA,LAMAR,1,75,1036,14.9%,5823,83.6%,0,0.0%,107,1.5%,
ALABAMA,LAUDERDALE,1,77,9952,25.2%,27899,70.6%,0,0.0%,1674,4.2%,
ALABAMA,LAWRENCE,1,79,3627,24.5%,10833,73.1%,0,0.0%,369,2.5%,
ALABAMA,LEE,1,81,21230,35.9%,34617,58.5%,0,0.0%,3344,5.6%,
ALABAMA,LIMESTONE,1,83,9468,23.5%,29067,72.1%,0,0.0%,1759,4.4%,
ALABAMA,LOWNDES,1,85,4883,73.1%,1751,26.2%,0,0.0%,50,0.7%,
ALABAMA,MACON,1,87,7566,82.8%,1431,15.7%,0,0.0%,143,1.6%,
ALABAMA,MADISON,1,89,62822,38.4%,89520,54.8%,0,0.0%,11047,6.8%,
ALABAMA,MARENGO,1,91,5615,51.1%,5233,47.6%,0,0.0%,146,1.3%,
ALABAMA,MARION,1,93,1432,11.0%,11274,86.8%,0,0.0%,278,2.1%,
ALABAMA,MARSHALL,1,95,4917,13.9%,29233,82.8%,0,0.0%,1166,3.3%,
ALABAMA,MOBILE,1,97,72186,41.8%,95116,55.1%,0,0.0%,5435,3.1%,
ALABAMA,MONROE,1,99,4332,42.2%,5795,56.4%,0,0.0%,144,1.4%,
ALABAMA,MONTGOMERY,1,101,58916,61.4%,34003,35.5%,0,0.0%,2959,3.1%,
ALABAMA,MORGAN,1,103,11254,22.2%,37486,74.0%,0,0.0%,1904,3.8%,
ALABAMA,PERRY,1,105,3824,72.5%,1407,26.7%,0,0.0%,47,0.9%,
ALABAMA,PICKENS,1,107,3972,41.6%,5456,57.2%,0,0.0%,114,1.2%,
ALABAMA,PIKE,1,109,5056,38.4%,7693,58.4%,0,0.0%,419,3.2%,
ALABAMA,RANDOLPH,1,111,2291,22.5%,7705,75.6%,0,0.0%,191,1.9%,
ALABAMA,RUSSELL,1,113,9579,49.7%,9210,47.8%,0,0.0%,467,2.4%,
ALABAMA,STCLAIR,1,115,5589,14.6%,31651,82.4%,0,0.0%,1160,3.0%,
ALABAMA,SHELBY,1,117,22977,22.7%,73020,72.1%,0,0.0%,5257,5.2%,
ALABAMA,SUMTER,1,119,4746,74.0%,1581,24.7%,0,0.0%,84,1.3%,
ALABAMA,TALLADEGA,1,121,12121,36.3%,20614,61.7%,0,0.0%,672,2.0%,
ALABAMA,TALLAPOOSA,1,123,5519,28.3%,13594,69.8%,0,0.0%,373,1.9%,
